
1201,,11th century,Ps.Od.,"Cod. gr. 59 + Neue Slg., ΜΓ 19;RBN, Gr. 837",Sinai;Petersburg,Egypt;Russia
1202,,12th century,Ps.Od.,Cod. gr. 60,Sinai,Egypt
1203,,12th century,Ps.Od.,Cod. gr. 65,Sinai,Egypt
1204,,c. 1002?,Ps.Od.,Cod. gr. 68,Sinai,Egypt
1205,,5th? century,Ps. fragm.,"Alte Slg., Cod. gr. 237",Sinai,Egypt
1206,,10th century,Ps.,"Stadtbibl., 7",Trier,Germany
1207,,1049,Cat. in Ps.Od.,"Bibl. Naz., B. I. 22",Turin,Italy
1208,,8th century,Cat. in Ps.Od. [fragm.],"Bibl. Naz., B. VII. 30",Turin,Italy
1209,,10th century,Cat in Ps,"Bibl. Naz., C. II. 6",Turin,Italy
1210,,12th century,Ps.Od,"Bibl. Mun., 14",Valenciennes,Francia
1211,,12th century,Ps.Od.,"Bibl. Marc., Append. I 12",Venice,Italy
1212,,10th/11th century,Cat. in Ps.,"Bibl. Marc., Append. I 30",Venice,Italy
1213,,10th/11th century,Ps.Od.,"Bibl. Marc., Append. I 49",Venice,Italy
1214,,11th century,Ps.Od.,"Bibl. Marc., Append. II 113",Venice,Italy
1215,,10th/11th century,Cat. in Ps.Od.,"Bibl. Marc., Gr. 17",Venice,Italy
1216,,11th century,Cat. in Od.,"Bibl. Marc., Gr. 19",Venice,Italy
1217,,10th century,Ps. 11-23,"BL, Add. 34602.2",London,U. Kingdom
1218,,12th century,Cat. in Ps. Od.,"Bibl. Capit., CXVIII",Verona,Italy
1219,,4th/5th century,Ps.Od. (with gaps),"SIL Freer Gall., Inv. Nr. 06.273","Washington, D.C.",United States
1220,,6th/7th? century,Ps. 3–68 (with gaps),"ÖNB, P. Vindob. K 9907-9971b",Vienna,Austria
1221,,7th/8th century,Ps. 9:33–13:5; 21:4-15; 24:16-25:4; 32:21-33:9; 34:6-15,"ÖNB, P. Vindob. G 39773 a-q",Vienna,Austria
1222,,11th century,Ps.,"Bibl. Naz., Naples ex Vindob. gr. 20",Naples,Italy
1223,,12th century,Ps.,"Bibl. Naz., Naples ex Vindob. gr. 21",Naples,Italy
1224,,11th century,Cat. in Ps.Od.,"ÖNB, Theol. gr. 297",Vienna,Austria
1225,,9th/10th century,Ps.,"Bischöfl. Klerikalsem., Membr. o. 1",Würzburg,Germany
1226,,11th century,Ps.Od.,"Vatican Library, Vat. gr. 1210",Vatican City,
1227,,12th century,Ps.Od.,"Corp. Christ. Coll., 480",Cambridge,U. Kingdom
1228,,11th century,Ps.Od.,"Kgl. Bibl., Ny Kgl. Saml., 8°, Nr. 5",Copenhagen,Denmark
1229,,11th/12th century,Cat. in Od.,"Patr.-Bibl., Τάφου 50",Jerusalem,Israel
[1233]missing,,10th/11th century,Ps. 17:34-35; 88:20,"John Rylands Library, P. Ryl. Copt. 32",Manchester,U. Kingdom
1234,,10th/11th century,Ps. 83:8-9,"John Rylands Library, P. Ryl. Copt. 33",Manchester,U. Kingdom
1235,,10th/11th century,Ps. 67:3; 106:31.32.41-43,"John Rylands Library, P. Ryl. Copt. 36v",Manchester,U. Kingdom
1236,,10th/11th century,Ps. 78:1-3,"John Rylands Library, P. Ryl. Copt. 29",Manchester,U. Kingdom
1237,,10th/11th century,Ps. 103:24,"John Rylands Library, P. Ryl. Copt. 30",Manchester,U. Kingdom
1238,,10th/11th century,Ps. 98:1,"John Rylands Library, P. Ryl. Copt. 31",Manchester,U. Kingdom
1239,,10th/11th century,Ps. 75:12; 84:2; 28:1,"John Rylands Library, P. Ryl. Copt. 58",Manchester,U. Kingdom
[1240]missing,,9th/10th century,Ps. 143:7-13; 145:8-146:6; Od. 1:8-15; 2:32-39,"Om.-Mosch., Treu Nr. V",Damascus,Syria
[1241]missing,,10th/11th century,Ps. 13:6-15:9; 17:50-18:fin. 73:13-74:9; 77:6-25,"Om.-Mosch., Treu Add. 1",Damascus,Syria
1243,,9th/10th century,Ps. 98,"IfP, P. Heid. Inv. G 558",Heidelberg,Germany
1244,,10th? century,quotes of Ps. 15-133,"Kopt. Mus., Inv. 3877",Cairo,Egypt
1245,,10th/12th century,Ps. 8:6-7; 20:4-5,"BL, Or. 6801",London,U. Kingdom
1246,,c. 895,Ps. 11:8; 64:6; 118:148-149.169-176; 133; 137:8,"PML, MS 574",New York,United States
1247,,10th/11th century,Ps. 148:1-4; 150; Od. 8:57-74,"Bodleian Library, Ms. Clar. Press B.3, Nr. 17",Oxford,U. Kingdom
1248,,10th century,Ps. 2:6-8; 102:19-22,"BnF, Copt. 12919, Bl. 73;Vatican Library, Borg. copt. 97",Paris;Vatican City,Francia;.
1249,,IXE,Od. 4:2-8.14-16; 7:27-29.31-40 fragm.,"Biblioteca Ambrosiana, L. 120 sup., Bl. 125 andc.",Milan,Italy
1250,,10th/11th century,Ps.Od. (quotes),"Nat.-Bibl., Gr. I 27",Prague,Czech Republic
1251,,(XI) 1231,Cat. in Ps.Od.,"EBE, 2988",Athens,Greece
1252,,12th century,Ps.,"Hist. Ges., 296",Athens,Greece
1253,,11th century,Ps.Od.,"MIAND - Βιβλ. Πεζάρου, 50",Athens,Greece
1254,,11th century(however Parpulov XIII),Ps.Od.,"Mus. Ben., 9",Athens,Greece
1255,,12th century(however Parpulov XIII),Ps.Od.,"Mus. Ben., 17",Athens,Greece
1256,,?,XII - Ps.Od. X (P XI),"Mus. Ben., 33",Athens,Greece
1257,,14th century,Cat. in Ps.Od.,"Вατοπαιδίου, 660",Mount Athos,Greece
1258,,?,Cat. in Ps.Od. (Verz.: Comm.; P. Cat),"Παντελεήμωνος, 33",Mount Athos,Greece
1259,,12th century,Ps. 1-10,"Вατοπαιδίου, 625",Mount Athos,Greece
1260,,11th century,Ps.,"Вατοπαιδίου, 1231",Mount Athos,Greece
1261,,12th century,Ps.,"Διονυσίου, 586 B, Bl. 2-6",Mount Athos,Greece
1262,,11th century,Ps.Od.,"Καυσοκαλυβ, Ms. 87",Mount Athos,Greece
1263,,12th century(Richard XI),Cat. in Ps.Od.,"Κουτλουμουσίου, 36",Mount Athos,Greece
1264,,10th century,Cat. in Ps.,"Λαύρα, 89 (Α 89)",Mount Athos,Greece
