1301,,7th century,Ps. fragm.,"Neue Slg., ΜΓ 24",Sinai,Egypt
1302,,9th century,Ps.Od.,"Neue Slg., ΜΓ 33 partim",Sinai,Egypt
1303,,8th/9th century,Ps.,"Neue Slg., ΜΓ 39",Sinai,Egypt
1304,,9th century,Ps.,"Neue Slg., ΜΓ 96",Sinai,Egypt
1305,,9th century,Ps.,"Neue Slg., ΜΓ 98",Sinai,Egypt
1306,,10th century,Ps.Od.,"Neue Slg., ΜΓ 106",Sinai,Egypt
1307,,11th/12th century,Ps.Od.,"Neue Slg., Μ 2",Sinai,Egypt
1308,,12th/13th century,Ps.,"Neue Slg., Μ 6",Sinai,Egypt
1309,,12th century,Ps.,"Neue Slg., Μ 15",Sinai,Egypt
1310,,12th century,Ps.,"Neue Slg., Μ 26",Sinai,Egypt
1311,,11th/12th century,Ps.,"Neue Slg., Μ 36",Sinai,Egypt
1312,,11th/12th century,Ps.Od.,"Neue Slg., Μ 43",Sinai,Egypt
1313,,11th/12th century,Ps.,"Neue Slg., Μ 52",Sinai,Egypt
1314,,11th/12th century,Ps.,"Neue Slg., Μ 56",Sinai,Egypt
1315,,11th/12th century,Od.,"Neue Slg., Μ 108",Sinai,Egypt
1316,,11th century,Ps.,"Neue Slg., Μ 119",Sinai,Egypt
1317,,12th century,Ps.Od.,"Neue Slg., Μ 121",Sinai,Egypt
1318,,12th/13th century,Ps.Od.,"Neue Slg., Μ 132",Sinai,Egypt
1319,,12th century,Ps.Od.,"Neue Slg., Μ 147",Sinai,Egypt
1320,,12th century,Ps.,"Neue Slg., Μ 208",Sinai,Egypt
1321,,12th/13th century,Ps.,"Neue Slg., X 120",Sinai,Egypt
1322,,12th/13th century,Ps.,"Neue Slg., X 121",Sinai,Egypt
1323,,12th/13th century,Ps.Od.,"Neue Slg., X 150",Sinai,Egypt
1324,,12th/13th century,Ps.,"Neue Slg., X 161",Sinai,Egypt
1325,,12th/13th century,Ps.,"Neue Slg., X 208",Sinai,Egypt
1326,,12th/13th century,Ps.,"Neue Slg., X 209",Sinai,Egypt
1327,,12th/13th century,Ps.,"Neue Slg., X 211",Sinai,Egypt
1328,,12th/13th century,Ps.,"Neue Slg., X 212",Sinai,Egypt
1329,,12th/13th century,Ps.,"Neue Slg., X 213",Sinai,Egypt
1330,,12th/13th century,Ps.,"Neue Slg., X 216",Sinai,Egypt
1331,,12th/13th century,Ps.,"Neue Slg., X 217",Sinai,Egypt
1332,,12th/13th century,Ps.,"Neue Slg., X 231",Sinai,Egypt
1333,,11th century,Cat. in Ps.,"ZSBS, Dujčev 117",Sofia,Bulgaria
1334,,11th century,Ps.Od.,"ZSBS, Dujčev 238",Sofia,Bulgaria
1335,,11th century,Ps.Od.,"Μ. Βλατ., 87",Thessaloniki,Greece
1336,,11th century,Ps.Od.,"Ζάβορδα, Νικαν. 10",,Greece
