
13,Bodleianus (E+I),c. 950,Cat. in. Ps.Od.,"Bodleian Library, Auct. D. 4. 1",Oxford,U. Kingdom
14,,11th century,Cat. in Gen. and. Exod.,"Vatican Library, Vat. Palat. Gr. 203",Vatican City,
15,,10th century,Oct.,"BnF, Coisl. Gr. 2",Paris,Francia
16,,11th century,Oct.,Laurentian Library v. 38,Florence,Italy
17,,10th century,Cat. in Gen.,"Syn. 5, Vlad. 28.",Moscow,Russia
18,,11th century,"Genesis, Cat. in Exod. - Rut",Laur. Med. Pal. 242,Florence,Italy
19,,12th century,"Oct., Reg., Par., Esdr., Idt., Est., Mach I-III",Chigi R. VI. 38,Rome,Italy
22,,10th century,XII + IV proph.,"BL, Royal 1 B. II",London,U. Kingdom
25,,11th century,Cat. in Gen. Exod.,Staatsbibl. Gr. 9,Munich,Germany
26,,10th century,XII + IV proph.,"Vatican Library, Vat. gr. 556",Vatican City,
27,,9th century,Ps.,"FLB, Membr. I 17",Gotha,Germany
28,,10th-11th century,Num.-Jos,"Vatican Library, Vat. gr. 2122",Vatican City,
29,,14th century,"Oct., Reg. I-II (X/XI), Mac. I-III 1,1","Bibl. Marc., Gr. 2",Venice,Italy
30,,11th-12th century,Oct.,Bibl. Casanat. 1444,Rome,Italy
31,,15th century,Cat. in. Gen.,"ÖNB, Theol. Gr. 7",Vienna,Austria
34,,12th century,Daniel,"Vatican Library, Vat. gr. 803",Vatican City,
35,,12th century,Daniel,"Vatican Library, Vat. gr. 866",Vatican City,
36,,11th century,XII + IV proph.,"Vatican Library, Vat. gr. 347",Vatican City,
43,Parisiensis,10th century,Psalms,"BnF, Gr. 20",Paris,Francia
44,,15th century,"Oct., Reg., Par., Esdr., Mac. I-IV, Est., Idt., Tob. + NT",Stadtbibl. A 1,Zittau,Germany
46,,13th/14th century,Old Testament without the Psalms,"BnF, Coils. 4",Paris,Francia
48,,10th/11th century,XII + IV proph.,"Vatican Library, Vat. gr. 1794",Vatican City,
49,,11th century,"Cat. in XII proph., Is. c. comm. marg., Cat. in Jer. - Dan.","Laurentian Library, Plut. XI 4",Florence,Italy
51,,11th century,XII + IV proph.,"Laurentian Library, Plut. X 8",Florence,Italy
52,,14th century,"Cat. in. Pent. (X/XI), Jos - Rut., Reg., Par., Esdr., Est., Idt., Mac. I-IV, Tob.","Laurentian Library, Acquisti 44",Florence,Italy
53,,1439,Oct.,"BnF, Gr. 17 A",Paris,Francia
54,,13th/14th century,Oct.,"BnF, Gr. 5",Paris,Francia
55,,10th century,"Oct., Reg., Par., Esdr., Idt., Est., Tob., Mac. I-IV, Job., Ps., Od.","Vatican Library, Regin. gr. 1",Vatican City,
56,,1093,"Oct., Reg., Par. I-II 13:15, Mac. I i II (fragm.)","BnF, Gr. 3",Paris,Francia
57,,11th century,Cat. in. Oct.,"Vatican Library, Vat. gr. 747",Vatican City,
58,,11th century,"Oct., Mac. I-IV, Esdr., Est., Idt., Tob., Dan.","Vatican Library, Regin. gr. 10",Vatican City,
59,,15th century,Oct. [Lection aus Reg. III),"Univ. Libr., BE 7b. 10",Glasgow,U. Kingdom
60,,10th century,Par.,"Univ. Libr., Ff. I. 24",Cambridge,U. Kingdom
62,,11th century,"XII + IV proph., Mac. I-IV","New Coll., 44",Oxford,U. Kingdom
64,,10th century,"Oct., Reg., Par., Esdr., Est., Tob., Idt., Mac. I-III","BnF, Gr 2",Paris,Francia
65,,14th century,Ps. Od.,"Uni.-Bibl., Gr. 4",Leipzig,Germany
66,,15th century,PS. Od.,"Coll., Bk. 6.2","Eton, Berkshire",U. Kingdom
67,,16th century,Ps.Od.,"Corp. Chr. Coll., 19",Oxford,U. Kingdom
68,,15th century,OT + NT,"Bibl. Marc., Gr. 5",Venice,Italy
69,,12th century,Ps.Od.,"Magdalen Coll., Gr. 9",Oxford,U. Kingdom
71,,13th century,"Oct., Reg., Par., Esdr., Mac. I-IV, Est., Idt., Tob.","BnF, Gr. 1",Paris,Francia
72,,13th century,Oct.,"Bodleian Library, Canonic. gr. 35",Oxford,U. Kingdom
73,,11th/12th century,Cat. in. Oct.,"Vatican Library, Vat. gr. 746",Vatican City,
74,,13th century,"Oct., Reg., Par., Esdr., Mac. I-IV, Est., Idt., Tob.","Laurentian Library, S. Marco 700",Florence,Italy
75,,1125,Oct.,"Univ. Coll., 52",Oxford,U. Kingdom
76,,13th century,"Oct., Est., Idt., Tob.","BnF, Gr. 4",Paris,Francia
77,,13th/14th century,Cat. in. Oct.,"Vatican Library, Vat. gr. 748",Vatican City,
78,,12th century,Cat. in Gen. and Exod.,"Vatican Library, Vat. gr. 383",Vatican City,
79,,12th/13th century,Cat. in Gen.,"Vatican Library, Vat. gr. 1668",Vatican City,
80,,11th/12th century,Ps.Od.,"Christ Church, 44",Oxford,U. Kingdom
81,,1184,Ps.Od.,"Christ Church, 42",Oxford,U. Kingdom
82,,12th century,"Oct., Reg.","BnF, Coisl. 3",Paris,Francia
83,,16th century,Cat. in Pent.,"Archivo da Torre do Tombo, 540. 669. 668. 671. 670.",Lisbon,Portugal
84,,10th/11th century,Oct.,"Vatican Library, Vat., gr. 1901",Vatican City,
85,,10th century,Oct.,"Vatican Library, Vat., gr. 2058",Vatican City,
86,,9th/10th century,"XII, Is., Jer., Cat. in Ez.,","Vatican Library, Barber. gr. 549",Vatican City,
87,,10th century,Cat. in. XII + IV proph.,"Vatican Library, Chis. R. VIII 54",Vatican City,
88,Codex Chisianus 87,10th century,"Jeremias, Daniel (version LXX), Ezekiel, Isaiah","Vatican Library, Chis. R. VII 45",Vatican City,
90,,11th century,Cat. Nicandae in IV proph.,"Laurentian Library, Plut. V 5",Florence,Italy
91,,11th century,Cat. in XII + IV proph.,"Vatican Library, Ottob gr. 452",Vatican City,
92,,11th century,Reg.,"BnF, Gr. 8",Paris,Francia
93,,13th century,"Ruth, Reg., Par., Esdr. II, Est. (L), Mac. I-III, Est. (O), Is.","BL, Royal 1 D. II",London,U. Kingdom
96,,11th century,XII + IV proph.,"Kgl. Bibl., Ny Kgl. Saml., 4°, Nr. 5",Copenhagen,Denmark
97,,12th/13th century,Cat. in XII + IV proph.,"Vatican Library, Vat. gr. 1153 i 1154",Vatican City,
98,,13th century,"Cat. in Reg., Par., Esdr., Est., Tob., Idt., Mac. I-II","Real Bibl., Σ-II-19",El Escorial,Spain
99,,12th century,Ps.Od.,"Trinity Coll., 78",Oxford,U. Kingdom
100,,12th century,Ps.Od.,"Christ Church, 41",Oxford,U. Kingdom
101,,13th century,Ps.Od.,"Christ Church, 61",Oxford,U. Kingdom
102,,12th century,Ps.Od.,"Christ Church, 43",Oxford,U. Kingdom
