1701,,16th century,Ps.Od.,"Nat.-Mus., 23",Ohrid,North Macedonia
1702,,16th century,Cat. in. Ps.,"Bodleian Library, Auct. E. 1. 5",Oxford,U. Kingdom
1703,,15th century(or younger),Ps. fragm.,"Bodleian Library, Auct. T. 2. 11",Oxford,U. Kingdom
1704,,14th century,Ps.,"Bodleian Library, Barocc. 25",Oxford,U. Kingdom
1705,,15th century,Cat. in Ps.,"Bodleian Library, Barocc. 154",Oxford,U. Kingdom
1706,,15th century,Cat. in Ps.Od.,"Bodleian Library, Barocc. 223",Oxford,U. Kingdom
1707,,15th century,Ps.Od.,"Bodleian Library, Canonic. gr. 17",Oxford,U. Kingdom
1708,,15th century,Ps.Od.,"Bodleian Library, Canonic. gr. 18",Oxford,U. Kingdom
1709,,1453,Ps.Od.,"Bodleian Library, Canonic. gr. 31",Oxford,U. Kingdom
1710,,15th century,Ps.Od.,"Bodleian Library, Canonic. gr. 37",Oxford,U. Kingdom
1711,,13th century,Ps.Od.,"Bodleian Library, Canonic. gr. 63",Oxford,U. Kingdom
1712,,13th century,Ps.Od.,"Bodleian Library, Canonic. gr. 114",Oxford,U. Kingdom
1713,,15th century,Cat. in Ps.,"New. Coll., 31",Oxford,U. Kingdom
1714,,14th/15th century,Ps. (hebr. -gr. -arab. - syr.),"Univ. Libr., Or. 929",Cambridge,U. Kingdom
1715,,15th century,Ps.Od.,"Bibl. Univ., 1321",Padua,Italy
1716,,12th/13th century,Ps.Od.,"Mus. Naz, Ms. 4;Free Libr., Lewis 353",Palermo;Philadelphia,Italy; United States
1717,,14th century,Cat. in Ps.,"BnF, Coisl. 12",Paris,Francia
1718,,15th century,Cat. in Ps.,"BnF, Coisl. 189",Paris,Francia
1719,,13th century,Cat. Nicetae in Ps.,"BnF, Coisl. 190",Paris,Francia
1720,,13th century,Ps.,"BnF, Coisl. 358",Paris,Francia
1721,,1419,Ps.Od.,"BnF, Gr. 12",Paris,Francia
1722,,15th century,Ps.Od.,"BnF, Gr. 28",Paris,Francia
1723,,1438,Ps.Od.,"BnF, Gr. 30",Paris,Francia
1724,,1469,Ps.Od.,"BnF, Gr. 31",Paris,Francia
1725,,15th century,Ps.Od.,"BnF, Gr. 32",Paris,Francia
1726,,15th century,Ps.Od.,"BnF, Gr. 33",Paris,Francia
1727,,15th century,Ps.Od.,"BnF, Gr. 34",Paris,Francia
1728,,14th century,Ps.Od.,"BnF, Gr. 43",Paris,Francia
1729,,14th century,Ps.Od.,"BnF, Gr. 44",Paris,Francia
1730,,15th century,Ps.Od.,"BnF, Gr. 45",Paris,Francia
1731,,15th century,Psalms poenitentiales,"BnF, Gr. 46",Paris,Francia
1732,,1364,Ps.Od.,"BnF, Gr. 47",Paris,Francia
1733,,13th century,Ps.Od.,"BnF, Gr. 106 A",Paris,Francia
1734,,16th century,Cat. in Ps.,"BnF, Gr. 148",Paris,Francia
1735,,14th century,Cat. in Ps.,"BnF, Gr. 166 and 167",Paris,Francia
1736,,14th century,Cat. in Ps.,"BnF, Gr. 169",Paris,Francia
1737,,16th century,Cat. in Ps. fragm.,"BnF, Gr. 171",Paris,Francia
1738,,15th century,Od.,"BnF, Gr. 269",Paris,Francia
1739,,11th-14th century,Ps. fragm.,"BnF, Gr. 328",Paris,Francia
1740,,15th century,Ps.Od.,"BnF, Gr. 336",Paris,Francia
1741,,13th century,Psalms graduales,"BnF, Gr. 352",Paris,Francia
1742,,16th century,Ps.Od.,"BnF, Gr. 2743",Paris,Francia
1743,,14th-16th century,Ps. fragm.,"BnF, Gr. 1100",Paris,Francia
1744,,15th century,Ps.,"BnF, Gr. 2500",Paris,Francia
1745,,12th/13th century,Ps.,"BnF, Lat. 15198",Paris,Francia
1746,,16th century,Ps.,"BnF, Suppl. gr. 117",Paris,Francia
1747,,13th century,Ps.,"BnF, Suppl. gr. 188",Paris,Francia
1748,,13th century,Ps.Od.,"BnF, Suppl. gr. 473",Paris,Francia
1749,,15th century,Ps. fragm.,"BnF, Suppl. gr. 774",Paris,Francia
