[2001]missing,,9th/10th century,Ps. 1?-2?,"Ägyptisches Museum, P. ? (Blaß Nr. IV)",Berlin,Germany
2002,,5th century,Ps. 105:38-45; 106:2-10 fragm.,"Ägyptisches Museum, P. 5011",Berlin,Germany
[2003]missing,,7th century,Ps. 39:16-40:11 fragm.,"Ägyptisches Museum, P. 5018",Berlin,Germany
[2004]missing,,3rd/4th century,Ps. 79:2-16,"Staatl. Mus., Antiqu., Misc. 8630",Berlin,Germany
2005,,7th century,Ps. 21:15-28 sec. Hexapla fragm.,"Univ. Libr., T-S 12. 182",Cambridge,U. Kingdom
2006,,6th century,Ps. 143:1-144:6 fragm.,"Univ. Libr., T-S 16. 320",Cambridge,U. Kingdom
2007,,5th/6th century,Ps. 22:6-23:2; 24:2-5 fragm.,Philol. Sem.,Jena,Germany
2008,,5th/6th century,Ps. 5:6-12 fragm.,"PML, Pap. G. 5",New York,United States
2009,,7th? century,Ps. 107:14-108:2.12-13; 118:115-122.126-135; 135:18-140:4 (with gaps),"PML, Pap. G. 6 and 2000",New York,United States
2010,,5th century,Ps. 58:7-13; 58:16-59:3 fragm.,"PML, Pap. G. 7",New York,United States
2011,,8th century,Ps. 135:13-136:9; 140:1-142:1 fragm.,"Westm. Coll., Cod. Clim. Rescr., Bl. 26f",Cambridge,U. Kingdom
2012,,4th century,Ps. 14:1-5,"Luwr, MA 3373",Paris,Francia
2013,,4th century,Psalms 30-55,"Univ. Bibl. P., Inv. Nr. 39Univ. Bibl., P. Bonn 147v",Leipzig;Bonn,Germany
2014,,2nd/3rd century,Ps. 118:27-63(?) fragm.,"Univ. Bibl. P., Inv. Nr. 170",Leipzig,Germany
2015,,5th/6th century,Ps. 9:3-118:112; 146:9-11 (with gaps),"British Library, Add. 34274, Bl. 51 + Or. 3579 A (17);Kopt. Mus., Inv. 3855 + 3857 + 3859 + 3865;PML, M 706 c;BnF, Copt. 1292, Bl. 1, 2, 33, 98, 105-112; + Copt. 1322, Bl. 18 and 51; + Copt. 1323, Bl. 177 and 202; + Copt. 1331, Bl. 57, 57a and 58;ÖNB, P. Vindob. K 31; + P. Vindob. K 902; + P. Vindob. K 8343; + P. Vindob. K 9851; + P. Vindob. K 9871; + P. Vindob. K 9872",London;Cairo;New York;Paris;Vienna,U. Kingdom;Egypt;United States;Francia;Austria
2016,,6th/7th century,Ps. 76:5-15; 77:8-16; 85:8-86:5,"BL, Add. 34473, art. 7",London,U. Kingdom
2017,,7th/8th century,Ps. 64:7-65:2; 68:14-21; 106:43-107:10; 129:3-137:8,"BL, Add. 34602.1 (= Bl. 1-9);Bodleian Library, Ms. Gr. (bibl.) d. 3 (P);BnF, Suppl. gr. 1092",London;Oxford;Paris,U. Kingdom;Francia
{2018}locked,,,see item 2015,"British Library, Or. 3579 A (17)",London,U. Kingdom
2019,,3rd century,Ps. 11:7-14:4,"BL, P. Inv. Nr. 230 (recto)",London,U. Kingdom
2020,,5th/6th century,Ps. 90:5-16,"John Rylands Library, P. Gr. 3",Manchester,U. Kingdom
2021,,5th century,Ps. 25:7-26:7 fragm.,"Ägyptisches Museum, P. 9754",Berlin,Germany
2022,,6th/7th century,Ps. 50:14-20 fragm.,"Ägyptisches Museum, P. 10501",Berlin,Germany
2023,,7th/8th century,Ps. 118:132-134 fragm.,"Bodleian Library, Ms. copt. g. 3",Oxford,U. Kingdom
2024,,7th century,Ps. 1:3,"Bodleian Library, Gr. th. g. 6 (P)",Oxford,U. Kingdom
2025,,3rd/4th century,Ps. 7:9-12; 8:1-4 fragm.,P.Oxy. 1226,Oxyrhynchus,
{2026}locked,,,see item 2017,"BnF, Suppl. gr. 1092",Paris,Francia
2027,,4th/5th century,Ps. 141:7-142:3; 144:7-13,RBN Gr. 4,Petersburg,Russia
2028,,6th century,Ps. 78:5-8.39f,RBN Gr. 15,Petersburg,Russia
2029,,4th century,Ps. 101:3-4; 102:5-8; 105:34-43; 106:27-34; 108:15-21; 113:18-26; 114:3-115:2,Harris Nr. 4,Sinai,Egypt
2030,,6th century,Ps. 26,"ÖNB, P. Vindob. G 8022",Vienna,Austria
2031,,4th century,Ps. 90:1-2 / quotes of NT,"ÖNB, P. Vindob. G 2312",Vienna,Austria
2032,,10th/11th century,Ps. 98:5-8; 148:1-4.7; 150:1-4,"BnF, Copt. 12919, Bl. 64;ÖNB, P. Vindob. K 9722",Paris;Vienna,Francia;Austria
{2033}locked,,,see item 2015,"ÖNB, P. Vindob. K 9851",Vienna,Austria
{2034}locked,,,see item 2015,"ÖNB, P. Vindob. K 9871",Vienna,Austria
{2035}locked,,,see item 2015,"ÖNB, P. Vindob. K 9872",Vienna,Austria
2036,,6th century,Od. fragm.,"ÖNB, P. Vindob. K 8706",Vienna,Austria
2037,,4th century,Ps. 18:15-19:3; 20:1-4 fragm.,"ÖNB, P. Vindob. G 39772",Vienna,Austria
2038,,6th century,Ps. 33:5-10.12-18 fragm.,"ÖNB, P. Vindob. G 39774",Vienna,Austria
2039,,5th century,Ps. 72:11-15.20-23; 88:51-89:1.5-8 fragm.,"ÖNB, P. Vindob. G 39775 a, b",Vienna,Austria
2040,,5th/6th century,Ps. 105:20-21.25-26; 106:25-27.30-32 fragm.,"ÖNB, P. Vindob. G 39776",Vienna,Austria
[2041]missing,,5th century,Ps. 1:1 (?),"ÖNB, AN 26",Vienna,Austria
2042,,4th/5th century,Ps. 68:30-37; 70:3-8 fragm.,P.Oxy. 845,Oxyrhynchus,
[2043]missing,,7th/8th century,Ps. 90:1-6 fragm.,"Ägyptisches Museum, P. 3601",Berlin,Germany
2044,,5th century,Ps. 103:2-20,"Ägyptisches Museum, P. 5874",Berlin,Germany
2045,,4th/5th century,Ps. 28:6-11; 29:3-8 fragm.,"Ägyptisches Museum, P. 5875",Berlin,Germany
2046,,4th century,Ps. 35:12-36:10.14-25,"Ägyptisches Museum, P. 6747 + 6785",Berlin,Germany
2047,,8th century,Ps. 67:2-28 fragm.,"Ägyptisches Museum, P. 7954",Berlin,Germany
2048,,6th century,Ps. 90:1-7.10-13,"Bibl. publ. and univ., Ms. gr. 50",Geneva,Switzerland
2049,,4th century,Ps. 82:6-83:4 fragm.,P.Oxy. 1352,Oxyrhynchus,
2050,,4th century,Ps. 39:15-41:5,"University of Paris, Inv. 827",Paris,Francia
2051,,3rd century,Ps. 2:3-12,"BL, P. Inv. Nr. 2556",London,U. Kingdom
{2052}locked,,,see item 2015,"ÖNB, P. Vindob. K 31",Vienna,Austria
2053,,4th century,Ps. 9:12-14.16-17.18-25 fragm.,"ÖNB, P. Vindob. G 30893 + P. Vindob. G 40405 + P. Vindob. G 29525 + P. Vindob. G 30465 + P. Vindob. G 39786",Vienna,Austria
2054,,2nd/3rd century,Ps. 77:1-18 fragm.,"Gr.-Röm. Mus., P. Alex. Inv. 240",Alexandria,Egypt
2055,,3rd/4th century,Ps. 143:14-148:3,"Laurentian Library, PSI 980",Florence,Italy
2056,,4th century,Ps. 111:1; 73:2,"Univ. Bibl., P. 305",Gießen,Germany
2057,,6th century,Ps. 3:4-9; 44:3; 62:2.4-5,"John Rylands Library, P. Gr. 461",Manchester,U. Kingdom
2058,,6th/7th century,Ps. 148:9-14; 149:1-9; 150 fragm.,"John Rylands Library, P. Gr. 462",Manchester,U. Kingdom
2059,,4th century,Ps. 17:45.47-51; 18:2-4 fragm.,"Ägyptisches Museum, P. 11682",Berlin,Germany
2060,,4th century,Ps. 103:18-19.26-27; 105:17-18.25-26,"Ägyptisches Museum, P. 16390",Berlin,Germany
2061,,6th/7th century,Ps. 51:4-7; 52:2-5 fragm.,"Ägyptisches Museum, P. 16703",Berlin,Germany
2062,,7th/8th century,Ps. 90:1-13,"Ägyptisches Museum, P. 3642 + 3639",Berlin,Germany
2063,,7th/8th century,quotes of Ps. 61-138,"Ägyptisches Museum, P. 11763",Berlin,Germany
2064,,4th century,Ps. 36:5-24,"Laurentian Library, PSI 1371",Florence,Italy
2065,,7th century,Ps. 141:2-6,"Int. Pap., „G. Vitelli” PSI Inv. 1372",Florence,Italy
2066,,5th century,Ps. 3:4-8,"UML, P. Mich. Inv. 1573",Ann Arbor,United States
2067,,3rd century,Ps. 8:3-9; 9:1.7-17 fragm.,"UML, P. Mich. Inv. 22",Ann Arbor,United States
2068,,7th century,Ps. 109:1-4,"Mus. Royaux, E 370",Brussels,Belgium
2069,,6th century,Ps. 49:1-7 fragm.,"Kekelidze Inst., Inv. Nr. 220",Tbilisi,Georgia
2070,,4th/5th century,Ps. 83:9-13; 84:2 fragm.,P.Oxy. 2386,Oxyrhynchus,
2071,,6th/7th century,Ps. 20:2-5 fragm.,"Or. Inst. Mus., O. Medinet Habu 1269",Chicago,United States
2072,,7th/8th century,Ps. 30:3-8 fragm.,"Or. Inst. Mus., O. Medinet Habu 1175",Chicago,United States
2073,P. Oxyrhynchus 1779,4th century,Psalm 1:4-6,"United Theological Seminary, P. Oxy. 1779",Dayton,United States
2074,,5th century,Ps. 90:1-4 fragm.,"Laurentian Library, PSI 759v",Florence,Italy
2075,,4th/5th century,Ps. 90:1 + quotes of NT,"Laurentian Library, PSI 719",Florence,Italy
2076,,before 650,quotes of Ps. 18-36,"Rijksmus. v. Oud., MS Insinger 41",Leiden,Netherlands
2077,,2nd century,Ps. 81:1-4; 82:4-9.16-17 fragm.,"Sackler Library, P. Ant 7",Oxford,U. Kingdom
2078,,10th/11th century,Ps. 77:65-69 fragm.,"ÖNB, P. Vindob. K 9730",Vienna,Austria
{2079}locked,,,see item 2015,"ÖNB, P. Vindob. K 8343",Vienna,Austria
{2080}locked,,,see item 2017,"Bodleian Library, Ms. Gr. (bibl.) d. 3 (P)",Oxford,U. Kingdom
2081,,5th/6th century,Ps. 90:13-16 fragm.,"Bodleian Library, Gr. bibl. e. 6 (P)",Oxford,U. Kingdom
2082,,2nd/3rd century,Ps. 48:20-21; 49:1-3.17-21 fragm.,"Bodleian Library, Gr. bibl. g. 5 (P)",Oxford,U. Kingdom
2083,,7th century,Ps. 140:1-8.10 fragm.,"University of Paris, Inv. 2136",Paris,Francia
{2084}locked,,,see item 2015,"BnF, Copt. 1292, Bl. 1 etc.",Paris,Francia
2085,,6th century,Ps. 2:7; 64:2; 86:2.5; 109:3,"ÖNB, P. Vindob. G 27290 A",Vienna,Austria
{2086}locked,,,see item 2053,"ÖNB, P. Vindob. G 29525 + 30465",Vienna,Austria
2087,,6th century,Ps. 11:9-12:3; 12:6-13:1 fragm.,"ÖNB, P. Vindob. G 35772",Vienna,Austria
2088,,7th/8th century,Ps. 16:15; 17:3 fragm.,"ÖNB, P. Vindob. G 3090",Vienna,Austria
2089,,6th/7th century,Ps. 17:7-11 fragm.,"ÖNB, P. Vindob. G 26047",Vienna,Austria
2090,,4th/5th century,Ps. 32:9-15,"ÖNB, P. Vindob. G 29274",Vienna,Austria
2091,,6th/7th century,Ps. 34:1-8.11-14,"ÖNB, P. Vindob. G 26205r + G 26607r",Vienna,Austria
2092,,7th century,Ps. 54:2-8.15-20 fragm.,"ÖNB, P. Vindob. G 26113",Vienna,Austria
2093,,5th/6th century,Ps. 3:5-6; 62:2-3,"ÖNB, P. Vindob. G 26166",Vienna,Austria
2094,,3rd century,Ps. 67:35-68:4.8-14 fragm.,"ÖNB, P. Vindob. G 26035 B",Vienna,Austria
2095,,6th/7th century,Ps. 68:3-5.9-12 fragm.,"ÖNB, P. Vindob. G 35782",Vienna,Austria
2096,,7th century,Ps. 77:1-8 fragm.,"ÖNB, P. Vindob. G 19920",Vienna,Austria
2097,,5th century,Ps. 91:15-92:1; 93:1 fragm.,"ÖNB, P. Vindob. G 3093",Vienna,Austria
2098,,7th century,Ps. 92:1-4,"ÖNB, P. Vindob. G 26228 B",Vienna,Austria
2099,,6th century,Ps. 92:1; 103:10-12 fragm.,"ÖNB, P. Vindob. G 26781",Vienna,Austria
2100,,9th century,Ps. 105:16; 117:17,"ÖNB, P. Vindob. G 19809",Vienna,Austria
