501,,15th century,XII + IV proph.,"Stadtbibl., Solger. in fol. 14",Nuremberg,Germany
502,,16th century,Cat. in Cant.,"Bodleian Library, Auct. E. 2. 8",Oxford,U. Kingdom
503,,12th/13th century,Cat. in Job and Prov. and Eccl. and Cant.,"Bodleian Library, Auct. E. 2. 16",Oxford,U. Kingdom
504,,16th century,"Cat. in Cant. (two types) and Eccl., Cat. Polychronii in Prov.","Bodleian Library, Auct. E. 2. 17 i 18",Oxford,U. Kingdom
505,,14th century,Cat. in Job,"Bodleian Library, Auct. E. 2. 19",Oxford,U. Kingdom
506,,16th century,Cat. in Cant.,"Bodleian Library, Auct. T. 1. 22",Oxford,U. Kingdom
507,,14th century,"Sir. 51, Cant.","Bodleian Library, Auct. T. 2. 5",Oxford,U. Kingdom
508,,c. 817,OT excerpta,"Bodleian Library, Auct. F. 4. 32",Oxford,U. Kingdom
509,,9th/10th century,"Oct., Reg I-III","Bodleian Library, Auct. T. inf. 2. 1Univ. Libr., Add. 1879. 7BL, Add. 20002RBN Gr. 62",Oxford;Cambridge;London;Petersburg,U. KingdomU. KingdomU. KingdomRussia
510,,14th century,Reg. I-IV,"Λαύρα, 762 (H 107)",Mount Athos,Greece
511,,15th century,Dan.,"Bodleian Library, Barocc. 148",Oxford,U. Kingdom
512,,1562,Cat. Nicandae in Job,"Bodleian Library, Barocc. 176",Oxford,U. Kingdom
513,,16th century,Cat. in Job,"Bodleian Library, Barocc. 178",Oxford,U. Kingdom
514,,15th century,"Cat. Nic. in Job, Cat. in Prov.","Bodleian Library, Barocc. 195",Oxford,U. Kingdom
515,,12th/13th century,Cat. in Job,"Bodleian Library, Barocc. 201",Oxford,U. Kingdom
516,,12th century,Libri Sap.,"Λαύρα, 149 (B 29)",Mount Athos,Greece
517,,15th century,Cat. in Prov.,"Bodleian Library, Barocc. 232",Oxford,U. Kingdom
518,,16th century,Cat. Nicol. Muzani in Is.,"Bodleian Library, Canonic. gr. 59",Oxford,U. Kingdom
519,,15th century,Prov. + Lect.,"Λαύρα, 301 (Γ 61)",Mount Athos,Greece
520,,1406,Libri sap.,"Λαύρα, 1571 (Λ 80)",Mount Athos,Greece
521,,1579,Psellos comm. in Cant.,"March, Cat. in Cant. and Eccl.",Madrid,Spain
522,,13th century,"Cat. in Eccl., + Cant.","Trinity Coll., B. 7. 3",Cambridge,U. Kingdom
523,,13th century,Cat. in Job,"Bodleian Library, Laud. gr. 20",Oxford,U. Kingdom
524,,14th century,Mac. IV,"Bodleian Library, Laud. gr. 41",Oxford,U. Kingdom
525,,16th century,Cat. in Job,"Bodleian Library, Laud. gr. 86",Oxford,U. Kingdom
526,,16th century,Cat. in Is,"New Coll., 41",Oxford,U. Kingdom
527,,14th century,"Oct., Reg., Par.","Bibl. de I'Arsenal, 8415",Paris,Francia
528,,1264,Cat. in Lev.–Ruth,"BnF, Coisl. Gr. 5",Paris,Francia
529,,13th century,Cat. in Lev.–Ruth,"BnF, Coisl. Gr. 6",Paris,Francia
530,,12th/13th century,Cat. in Jos–Ruth,"BnF, Coisl. Gr. 7",Paris,Francia
531,,15th century,Cat. in Job,"BnF, Coisl. Gr. 9",Paris,Francia
532,,16th century,Cat. in Prov.,"BnF, Coisl. Gr. 15",Paris,Francia
533,,13th century,Cat. in Ez.,"BnF, Coisl. Gr. 17",Paris,Francia
534,,11th century,"Idt., Mac. I-IV, IV + XII proph., Job, Prov., Cant., Eccl., Wis., Sir.","BnF, Coisl. Gr. 18",Paris,Francia
535,,10th century,Tob.,"BnF, Coisl. Gr. 83",Paris,Francia
536,,12th century,Dan.,"BnF, Coisl. Gr. 105",Paris,Francia
537,,13th century,Oct.,"BnF, Coisl. Gr. 184",Paris,Francia
538,,12th century,XII + IV proph.,"BnF, Coisl. Gr. 191",Paris,Francia
539,,11th century,Catenarum (Prov. and Eccl. Gen. and Exod.) excerpta,"BnF, Coisl. Gr. 193",Paris,Francia
540,,13th century,Cat. in Prov. and Eccl. and Cant. and Job,"BnF, Coisl. Gr. 194",Paris,Francia
541,,12th century,Dan.,"BnF, Coisl. Gr. 258",Paris,Francia
542,,9th century,"Tob., Prov., Job., Eccl., Cant., Wis., Sir., Sap. 1-47, Mac. I-IV, Est., Idt.","BnF, Gr. 10",Paris,Francia
543,,1186,"Tob., Prov., Job., Eccl., Cant., Wis., Sir., Sap. 1-47, Mac. I-IV, Est., Idt.","BnF, Gr. 11",Paris,Francia
544,,11th century,XII + IV proph.,"BnF, Gr. 15",Paris,Francia
545,,13th century,"Job, Porv., Eccl., Cant. Wis., Sir.","BnF, Gr. 18",Paris,Francia
546,,16th century,Job,"BnF, Gr. 19",Paris,Francia
547,,13th century,"Prov., Eccl., Cant., Wis., Sir.","BnF, Gr. 35",Paris,Francia
548,,14th/15th century,"Prov., Sir., Eccl., Wis., Cant.","BnF, Gr. 36",Paris,Francia
549,,11th century,"Eccl., Wis., Cant., Prov.","BnF, Gr. 57",Paris,Francia
550,,12th century,Cat. in Oct.,"BnF, Gr. 128",Paris,Francia
551,,13th century,Cat. in Gen.–Jg.,"BnF, Gr. 129",Paris,Francia
552,,16th century,Cat. in Oct.,"BnF, Gr. 130 i 132",Paris,Francia
553,,16th century,Cat. in Exod.,"BnF, Gr. 131",Paris,Francia
554,,14th century,Cat. in Reg. Par.,"BnF, Gr. 133",Paris,Francia
555,,13th century,Cat. in Job,"BnF, Gr. 134",Paris,Francia
556,,1362,Cat. in Job,"BnF, Gr. 135",Paris,Francia
557,,15th century,Cat. in Job,"BnF, Gr. 136",Paris,Francia
558,,16th century,Cat. in Job fragm.,"BnF, Gr. 137",Paris,Francia
559,,16th century,Cat. in Job,"BnF, Gr. 138",Paris,Francia
560,,13th century,Cat. in Prov. and Eccl. and Cant. and Job.,"BnF, Gr. 151",Paris,Francia
561,,13th century,Cat. in Eccl. and Cant.,"BnF, Gr. 152",Paris,Francia
562,,11th/12th century,Cat. Procopii in Cant. and Prov.,"BnF, Gr. 153",Paris,Francia
563,,12th century,"Cat. Proc. Cant. & Prov., Cat in Eccl., Sap.","BnF, Gr. 154",Paris,Francia
564,,10th century,Cat. in Is.,"BnF, Gr. 155",Paris,Francia
565,,10th century,Cat. in Is.,"BnF, Gr. 156",Paris,Francia
566,,12th century,Cat. in Is.,"BnF, Gr. 157",Paris,Francia
567,,12th century,Cat. in Jer.,"BnF, Gr. 158",Paris,Francia
568,,13th century,Cat. in XII + IV proph.,"BnF, Gr. 159",Paris,Francia
569,,13th century,Cat. in Gen.,"BnF, Gr. 161",Paris,Francia
570,,13th century,Cat. in Job,"BnF, Gr. 162",Paris,Francia
571,,16th century,"Cat. Procopii in Cant. and Prov., Cat. in Eccl., Sap.","BnF, Gr. 172",Paris,Francia
572,,16th century,Cat. in Cant. (two types),"BnF, Gr. 173",Paris,Francia
573,,10th/11th century,"Cat. in Prov. and Ez., and Dan. excerpta","BnF, Gr. 174",Paris,Francia
574,,16th century,Cat. in Eccl.,"BnF, Gr. 176",Paris,Francia
575,,13th century,"Ecloge XVI proph., Cant., Job, Sir. excerpta","BnF, Gr. 396",Paris,Francia
576,,10th century,Mal.,"BnF, Gr. 513",Paris,Francia
577,,11th century,Mac. IV,"BnF, Gr. 548",Paris,Francia
578,,12th century,Sir.,"BnF, Gr. 905",Paris,Francia
579,,13th century,Sap. fragm.,"BnF, Gr. 854",Paris,Francia
580,,16th century,Cat. in Cant. (two types),"BnF, Gr. 948",Paris,Francia
581,,1272,Cat. in Prov.,"BnF, Gr. 999",Paris,Francia
582,,14th century,Cat. in Pov.,"BnF, Gr. 1002",Paris,Francia
583,,14th century,"Tob., Est., Idt.","BnF, Gr. 1087",Paris,Francia
584,,11th century,Dan.,"BnF, Gr. 1173",Paris,Francia
585,,10th/11th century,Mac. IV,"BnF, Gr. 1053",Paris,Francia
586,,12th century,Mac. IV,"BnF, Gr. 1176",Paris,Francia
587,,11th century,Mac. IV,"BnF, Gr. 1177",Paris,Francia
588,,11th century,Dan.,"BnF, Gr. 1179",Paris,Francia
589,,13th/14th century,Cat. in Is.,"YBR, 241",New Haven,United States
590,,11th century,Dan.,"BnF, Gr. 1463",Paris,Francia
591,,11th century,Mac. IV,"BnF, Gr. 1474",Paris,Francia
592,,11th century,Mac. IV,"BnF, Gr. 1475",Paris,Francia
593,,11th century,Dan.,"BnF, Gr. 1478",Paris,Francia
594,,11th century,Mac. IV,"BnF, Gr. 1516",Paris,Francia
595,,12th century,Mac. IV,"BnF, Gr. 1527",Paris,Francia
596,,12th century,Mac. IV,"BnF, Gr. 1528",Paris,Francia
597,,12th century,Mac. IV,"BnF, Gr. 1548",Paris,Francia
598,,1493,Dan.,"BnF, Gr. 1612",Paris,Francia
599,,15th century,Dan. fragm.,"BnF, Gr. 1625",Paris,Francia
600,,8th/9th century,"Prov., Cant., Sir. fragm.","BnF, Gr. 2466",Paris,Francia
